"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","refurl","CONTMEDF.MEDF.","CONTMEDP.MEDPOS1.","CONTMEDP.MEDPOS2.","CONTMEDP.MEDPOS4.","CONTMEDAIUTARSI.MEDAMB.","CONTMEDN.MEDNEG1.","CONTMEDN.MEDNEG2.","CONTMEDN.MEDNEG3.","CONTMEDN2.MC1.","CONTMEDN2.MEDNEG4.","CONTINDF.INDF.","CONTINDVP.INDPOS1.","CONTINDVP.INDPOS2.","CONTINDVP.INDPOS3.","CONTINDVN.INDNEG1.","CONTINDVN.INDNEG2.","CONTINDVN.INDNEG3.","CONTDF.DF.","CONTDPOS.DPOS1.","CONTDPOS.DPOS2.","CONTDPOS.DPOS3.","CONTDNEG.DNEG1.","CONTDNEG.DNEG2.","CONTDNEG.DNEG3.","JMC0.JMC1.","JMC0.JMC2.","JMC0.JMC3.","JMC0.JMC4.","JMC0.JMC5.","JMC0.JMC6.","JMC0.JMC7.","JMC0.JMC8.","ROM0.ROM1.","ROM0.ROM2.","ROM0.ROM3.","ROM0.ROM4.","ATCOS0.ATCOS1.","ATCOS0.MC2.","ATCOS0.ATCOS2.","ATCOS0.ATCOS3.","ATCOS0.ATCOS4.","SCB0.SCB1.","SCB0.SCB2.","SCB0.SCB3.","SCB0.SCB4.","MIN0.THREAT1.","MIN0.THREAT2.","MIN0.THREAT3.","MIN0.THREAT4.","MIN0.THREAT5.","ONORE0.ONORE1.","ONORE0.ONORE2.","ONORE0.ONORE3.","ONORE0.ONORE4.","ONORE0.ONORE5.","ONORE0.ONORE6.","ONORE0.ONORE7.","ONORE0.ONORE8.","INT0.INT1.","INT0.INT2.","INT0.MC3.","INT0.INT3.","INT0.INT4.","METAATT.META1.","METAATT.META2.","METAATT.META3.","METAATT.META4.","CAMPCONTR1","CAMPCONTR2","SESSO","ETA","ISTR","Occupazione"
11,"2023-04-27 18:35:04",12,"it",902291274,"2023-04-27 18:23:58","2023-04-27 18:35:04","",5,2,1,1,2,5,4,5,2,5,2,1,1,1,3,5,3,1,1,1,1,6,2,3,2,3,1,5,1,1,1,1,1,6,2,1,3,4,5,1,1,7,7,7,2,7,5,7,7,6,2,2,3,3,4,2,1,1,"A7","A7","A6","A5","A5",1,3,1,1,1,1,1,25,3,"Studente lavoratrice "
12,"2023-04-27 18:42:30",12,"it",1928784257,"2023-04-27 18:24:43","2023-04-27 18:42:30","",4,2,2,2,2,2,3,2,2,4,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,3,2,2,1,3,1,3,3,3,1,1,4,4,3,1,3,6,7,6,1,7,6,7,6,7,1,3,1,3,5,1,1,1,"A6","A4","A6","A4","A4",2,2,2,1,1,1,0,26,2,"Tecnico informatico"
13,"2023-04-27 18:57:00",12,"it",139958703,"2023-04-27 18:25:52","2023-04-27 18:57:00","",4,6,3,2,6,7,7,7,2,6,1,1,1,1,1,1,1,1,1,2,1,6,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,4,6,1,1,7,7,7,2,7,2,7,1,1,3,7,1,3,6,6,6,2,"A7","A6","A6","A3","A7",3,2,1,1,1,1,1,61,1,"Casalinga "
14,"",NA,"it",922800522,"2023-04-27 18:28:15","2023-04-27 18:28:15","https://psplab.org/lime/index.php/admin/survey/sa/view/surveyid/529582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
15,"2023-04-27 18:46:25",12,"it",370870507,"2023-04-27 18:29:39","2023-04-27 18:46:25","",2,2,2,2,5,3,4,4,2,3,1,1,1,1,1,1,1,1,1,3,3,6,5,6,1,4,3,2,2,3,1,1,2,5,4,1,4,4,2,1,1,7,5,5,1,6,7,7,6,7,2,5,2,1,5,5,2,4,"A3","A5","A6","A1","A4",5,5,2,2,1,1,0,27,3,"Studente"
16,"",3,"it",960959412,"2023-04-27 18:29:50","2023-04-27 18:34:57","",1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,5,6,5,4,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
17,"",NA,"it",768692389,"2023-04-27 18:30:01","2023-04-27 18:30:01","https://psplab.org/lime/index.php/admin/survey/sa/view/surveyid/529582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
18,"2023-04-27 18:44:10",12,"it",206846282,"2023-04-27 18:31:34","2023-04-27 18:44:10","",6,2,4,4,5,7,7,5,2,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,4,1,5,2,1,1,4,3,1,1,7,7,5,1,7,7,3,7,1,1,1,1,1,7,1,1,1,"A7","A7","A6","A1","A3",6,7,7,7,1,1,0,27,2,"Impiegato "
19,"",NA,"it",1335327126,"2023-04-27 18:34:38","2023-04-27 18:34:38","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
20,"2023-04-27 18:53:20",12,"it",1042290525,"2023-04-27 18:34:54","2023-04-27 18:53:20","",7,1,1,1,1,7,7,7,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,7,1,1,4,1,1,1,7,7,7,1,7,7,7,7,7,1,7,1,7,1,7,1,3,"A7","A7","A6","A6","A4",1,1,1,1,1,1,0,66,2,"Disoccupazione "
21,"",NA,"it",254296674,"2023-04-27 18:36:02","2023-04-27 18:36:02","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
22,"2023-04-27 18:59:39",12,"it",959646979,"2023-04-27 18:38:14","2023-04-27 18:59:39","",3,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,7,7,7,1,7,7,6,7,6,1,4,1,5,1,2,1,2,"A5","A2","A6","A2","A2",1,1,1,1,1,1,0,65,1,"Impiegato"
23,"",NA,"it",1757890456,"2023-04-27 18:38:15","2023-04-27 18:38:15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
24,"2023-04-27 18:58:51",12,"it",1126261688,"2023-04-27 18:44:14","2023-04-27 18:58:51","",7,5,7,3,5,5,5,7,2,6,4,7,5,2,3,1,3,2,2,2,4,5,2,2,6,5,5,5,5,5,5,5,6,6,6,5,4,4,5,4,4,5,7,6,5,5,5,5,6,6,1,7,4,7,7,3,3,7,"A6","A6","A6","A6","A5",7,7,7,7,1,1,1,56,2,"Impiegata "
25,"2023-04-27 19:06:21",12,"it",1148544551,"2023-04-27 18:44:27","2023-04-27 19:06:21","",3,7,2,7,1,6,7,7,2,4,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,7,7,7,1,1,7,7,1,1,1,7,1,7,1,7,1,1,"A7","A7","A6","A1","A7",1,1,1,1,1,1,1,54,1,"Disoccupata"
26,"2023-04-27 19:19:52",12,"it",580747235,"2023-04-27 18:44:37","2023-04-27 19:19:52","",3,2,1,1,1,6,6,6,2,7,2,1,1,1,3,3,2,7,1,1,1,5,3,3,1,7,1,3,1,2,1,1,1,7,7,1,1,4,1,1,1,7,7,7,1,7,7,7,7,7,2,2,1,2,6,2,1,1,"A7","A5","A6","A3","A6",1,1,1,1,1,1,0,26,3,"Social Media Manager"
27,"",NA,"it",1440133595,"2023-04-27 18:45:20","2023-04-27 18:45:20","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
28,"2023-04-27 18:52:05",12,"it",1993664739,"2023-04-27 18:45:28","2023-04-27 18:52:04","",3,3,3,3,3,4,5,6,2,7,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,4,1,1,1,2,1,1,1,1,2,1,1,4,1,1,1,7,7,7,1,7,7,7,7,7,1,1,1,1,1,1,1,1,"A7","A7","A6","A7","A7",4,1,4,1,1,2,1,26,4,""
29,"",NA,"it",1957049941,"2023-04-27 18:46:05","2023-04-27 18:46:05","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
30,"2023-04-27 19:00:38",12,"it",1565015491,"2023-04-27 18:46:10","2023-04-27 19:00:38","",6,6,4,4,4,4,7,7,2,7,6,5,5,5,7,6,7,1,1,1,3,7,3,3,5,5,3,5,1,3,1,5,1,6,5,2,2,4,5,2,2,6,6,6,1,7,6,6,6,6,2,6,2,2,3,2,2,1,"A7","A7","A6","A7","A7",2,3,2,2,1,1,1,54,3,"Insegnante"
31,"2023-04-27 18:57:00",12,"it",1861885964,"2023-04-27 18:47:08","2023-04-27 18:57:00","",3,3,4,3,3,2,2,2,2,7,3,2,1,3,6,4,6,2,1,1,1,6,1,1,4,1,1,4,3,4,1,1,1,4,1,1,1,4,1,1,1,7,7,7,1,7,7,7,7,7,1,3,3,1,5,4,1,4,"A7","A7","A6","A5","A6",5,5,5,5,1,1,1,57,4,"Insegnante"
32,"2023-04-27 18:58:18",12,"it",2093500582,"2023-04-27 18:50:42","2023-04-27 18:58:18","",4,1,1,1,1,7,7,7,2,7,2,1,1,1,3,1,3,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,1,1,7,7,7,1,7,7,7,7,7,2,4,2,2,6,1,2,5,"A7","A7","A6","A7","A7",1,1,1,1,1,1,1,19,2,"Studentessa "
33,"2023-04-27 19:09:19",12,"it",1054610254,"2023-04-27 18:51:05","2023-04-27 19:09:19","",3,3,3,3,2,4,4,4,2,4,3,2,1,3,3,2,3,3,1,2,1,1,1,1,5,4,3,4,1,2,1,1,1,3,5,1,1,4,1,1,1,6,7,6,1,6,7,7,6,7,1,4,1,1,3,1,1,1,"A6","A7","A6","A7","A7",4,1,1,1,1,1,1,35,2,""
34,"2023-04-27 19:03:45",12,"it",1672855188,"2023-04-27 18:55:40","2023-04-27 19:03:45","",7,1,1,1,1,7,6,7,2,7,1,1,1,1,1,3,4,2,1,1,1,7,7,7,1,3,1,2,1,4,4,4,1,1,1,1,1,4,1,1,1,7,7,7,1,7,7,7,7,7,1,4,1,7,1,1,1,1,"A7","A7","A6","A7","A7",1,1,1,1,1,1,1,23,2,"Studentessa "
35,"2023-04-27 19:03:13",12,"it",886443225,"2023-04-27 18:55:44","2023-04-27 19:03:13","",4,2,3,3,3,6,5,3,2,7,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,5,7,5,1,1,1,1,5,4,6,1,1,4,1,1,1,6,7,7,2,6,4,7,7,7,1,4,1,5,1,4,1,4,"A7","A7","A6","A4","A7",1,5,1,1,1,1,1,18,1,"studente"
36,"2023-04-27 19:15:16",12,"it",1405230763,"2023-04-27 18:57:06","2023-04-27 19:15:16","",2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,4,4,1,1,1,1,4,1,1,1,4,1,1,1,7,7,7,1,7,7,7,7,7,1,4,1,7,1,1,1,1,"A1","A1","A6","A1","A1",1,1,1,1,1,1,1,49,2,"Impiegata"
37,"2023-04-27 19:28:02",12,"it",1687219134,"2023-04-27 18:58:36","2023-04-27 19:28:02","",2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,4,2,4,1,4,4,3,5,7,6,1,1,4,1,1,1,5,7,2,1,5,7,7,4,7,1,1,1,1,1,1,1,1,"A7","A4","A6","A4","A4",1,1,1,1,1,2,1,27,4,"Impiegata aziendale "
38,"2023-04-27 19:16:22",12,"it",241302485,"2023-04-27 19:03:42","2023-04-27 19:16:22","",4,1,1,1,1,6,5,3,2,5,1,1,1,1,1,1,1,3,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,7,7,7,1,7,7,7,7,7,1,4,1,4,1,1,1,1,"A7","A5","A6","A1","A5",1,1,1,1,1,2,0,27,2,"Impiegato "
39,"2023-04-27 19:24:14",12,"it",724617284,"2023-04-27 19:04:10","2023-04-27 19:24:14","",5,1,1,1,1,4,3,5,2,5,2,1,1,1,3,2,2,2,1,1,1,2,1,1,3,4,4,3,1,2,2,1,1,1,2,3,1,4,3,1,1,7,7,7,1,6,5,6,5,7,1,4,1,1,1,2,1,1,"A7","A6","A6","A6","A4",2,4,2,2,1,1,0,27,2,""
40,"2023-04-27 19:15:22",12,"it",142001259,"2023-04-27 19:07:15","2023-04-27 19:15:22","",5,4,4,4,5,4,5,5,2,4,7,4,3,4,4,4,4,7,1,3,1,2,2,2,3,1,3,2,1,1,1,4,4,3,4,1,1,4,3,1,1,5,5,4,4,6,6,5,5,7,4,6,4,5,6,4,3,5,"A4","A3","A6","A3","A3",1,1,1,1,1,1,0,25,3,"Imprenditore"
41,"",5,"it",464301286,"2023-04-27 19:11:07","2023-04-27 19:14:39","",7,4,4,5,4,4,3,5,4,5,4,2,4,5,6,5,5,5,3,3,2,4,5,2,2,2,2,2,2,2,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
42,"2023-04-27 19:29:55",12,"it",1194245310,"2023-04-27 19:18:34","2023-04-27 19:29:55","",4,1,2,1,4,4,4,4,2,7,7,5,4,1,4,4,1,7,1,1,1,7,2,1,4,4,3,4,1,4,4,4,1,5,5,4,1,4,1,1,1,5,7,6,1,7,7,7,7,7,1,1,1,1,1,1,1,1,"A7","A7","A6","A2","A2",1,1,1,1,1,1,1,49,2,"Impiegata"
43,"2023-04-27 19:43:32",12,"it",36239134,"2023-04-27 19:18:51","2023-04-27 19:43:32","",1,1,1,1,1,1,1,1,2,1,1,1,1,1,7,7,7,1,1,1,1,7,7,7,3,3,2,2,1,1,1,1,1,1,3,1,1,4,1,1,1,3,7,6,1,7,7,7,7,6,1,2,1,6,1,1,1,6,"A6","A6","A6","A6","A6",1,2,1,1,1,1,0,52,4,"Docente "
44,"2023-04-27 19:27:07",12,"it",206614408,"2023-04-27 19:19:17","2023-04-27 19:27:07","",7,2,3,2,5,6,5,5,2,6,6,5,3,1,4,3,1,2,3,4,3,3,2,1,2,5,3,3,2,2,4,2,2,3,5,1,3,4,3,2,2,6,6,5,2,5,4,5,6,6,2,4,2,5,2,4,2,2,"A2","A2","A6","A2","A3",4,5,5,4,1,1,0,29,3,"Lavoratore"
45,"",NA,"it",190818985,"2023-04-27 19:19:24","2023-04-27 19:19:24","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
46,"2023-04-27 19:31:21",12,"it",329549919,"2023-04-27 19:20:29","2023-04-27 19:31:21","",4,4,2,2,2,7,7,7,2,5,7,7,3,2,7,3,2,4,3,1,1,4,4,3,2,2,2,3,1,1,3,1,6,5,5,5,1,4,5,1,1,5,7,6,2,7,6,7,7,5,2,3,3,1,6,2,3,5,"A7","A2","A6","A3","A3",5,5,5,5,1,2,1,24,3,"Studentessa"
47,"2023-04-27 19:32:03",12,"it",159351537,"2023-04-27 19:21:39","2023-04-27 19:32:03","",5,3,2,3,1,4,5,7,2,7,1,1,1,1,1,3,1,2,1,1,1,3,1,1,2,4,1,2,1,3,5,5,1,5,5,5,1,4,5,1,1,7,7,7,1,7,4,7,5,7,1,1,1,1,1,1,1,1,"A7","A4","A6","A1","A6",1,6,5,1,1,1,1,24,2,"Studentessa"
48,"2023-04-27 19:33:17",12,"it",1481497385,"2023-04-27 19:24:19","2023-04-27 19:33:17","",3,3,3,3,3,7,7,7,2,7,7,1,1,5,1,1,7,7,1,1,1,7,7,7,1,4,2,1,1,2,1,1,1,1,1,1,1,4,3,1,1,7,7,7,1,7,7,7,7,7,2,6,2,1,3,2,3,1,"A7","A7","A6","A5","A5",1,1,1,1,1,1,1,25,4,"Docente"
49,"2023-04-27 19:43:36",12,"it",1896237337,"2023-04-27 19:29:41","2023-04-27 19:43:36","",2,1,2,1,1,7,7,7,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,4,1,1,1,5,7,7,1,7,7,7,7,7,1,7,1,5,7,4,4,4,"A7","A7","A6","A5","A7",1,1,1,1,1,1,0,46,4,"Architetto "
50,"2023-04-27 19:47:17",12,"it",119289820,"2023-04-27 19:29:48","2023-04-27 19:47:17","",3,3,2,2,3,3,2,3,2,2,5,2,3,1,1,2,3,2,2,2,3,4,1,2,2,3,3,3,3,1,3,2,4,5,3,1,4,4,4,2,1,6,6,6,1,6,7,7,7,7,3,5,2,3,6,4,4,4,"A7","A4","A6","A6","A4",2,1,3,2,1,1,0,29,4,"Studente PhD"
51,"2023-04-27 19:37:44",12,"it",2017659284,"2023-04-27 19:29:57","2023-04-27 19:37:44","",5,3,4,4,5,4,4,4,2,6,1,1,1,1,3,1,4,1,1,1,1,4,1,1,2,5,2,4,1,1,2,1,7,6,5,1,1,4,4,1,1,7,7,6,1,7,6,7,6,7,1,1,2,1,1,1,1,4,"A7","A6","A6","A4","A6",2,2,2,1,1,1,1,27,4,"Disoccupata "
52,"",NA,"it",2116691432,"2023-04-27 19:29:58","2023-04-27 19:29:58","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
53,"",NA,"it",1994014401,"2023-04-27 19:31:27","2023-04-27 19:31:27","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
54,"2023-04-27 19:43:51",12,"it",903994181,"2023-04-27 19:31:29","2023-04-27 19:43:51","",4,3,3,3,2,3,4,4,2,7,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,2,5,5,1,1,1,1,5,7,5,5,4,4,4,4,4,7,7,7,1,7,7,7,7,5,1,1,1,1,7,1,1,1,"A7","A7","A6","A1","A3",5,5,5,5,1,1,1,23,2,"Studentessa"
